FileName,MarvinFileName,AlexFileName,AlexCount,MarvinCount,Mean,Difference
CO1 Lithium 5-4 41 pt46.jpg,eggs2countCO1 Lithium 5-4 41 pt46.jpg,eggs2countCO1 Lithium 5-4 41 pt46.jpg,2,2,2.0,0
AO1 Lithium 5-4 14 pt26.jpg,eggs1countAO1 Lithium 5-4 14 pt26.jpg,eggs0countAO1 Lithium 5-4 14 pt26.jpg,0,1,0.5,1
nCO1 Lithium 5-4 38 pt17.jpg,eggs2countnCO1 Lithium 5-4 38 pt17.jpg,eggs2countnCO1 Lithium 5-4 38 pt17.jpg,2,2,2.0,0
ACO1 Control 5-4 31 pt74.jpg,eggs4countACO1 Control 5-4 31 pt74.jpg,eggs4countACO1 Control 5-4 31 pt74.jpg,4,4,4.0,0
ACO1 Control 5-4 22 pt44.jpg,eggs1countACO1 Control 5-4 22 pt44.jpg,eggs1countACO1 Control 5-4 22 pt44.jpg,1,1,1.0,0
nCO1 Control 5-4 37 pt16.jpg,eggs3countnCO1 Control 5-4 37 pt16.jpg,eggs3countnCO1 Control 5-4 37 pt16.jpg,3,3,3.0,0
nCO1 Lithium 5-4 50 pt14.jpg,eggs2countnCO1 Lithium 5-4 50 pt14.jpg,eggs2countnCO1 Lithium 5-4 50 pt14.jpg,2,2,2.0,0
nCO1 Lithium 5-4 48 pt65.jpg,eggs2countnCO1 Lithium 5-4 48 pt65.jpg,eggs2countnCO1 Lithium 5-4 48 pt65.jpg,2,2,2.0,0
CO1 Control 5-4 36 pt17.jpg,eggs1countCO1 Control 5-4 36 pt17.jpg,eggs2countCO1 Control 5-4 36 pt17.jpg,2,1,1.5,-1
nCO1 Lithium 5-4 11 pt15.jpg,eggs2countnCO1 Lithium 5-4 11 pt15.jpg,eggs1countnCO1 Lithium 5-4 11 pt15.jpg,1,2,1.5,1
AO1 Control 5-4 6 pt87.jpg,eggs1countAO1 Control 5-4 6 pt87.jpg,eggs1countAO1 Control 5-4 6 pt87.jpg,1,1,1.0,0
nCO1 Control 5-4 25 pt38.jpg,eggs4countnCO1 Control 5-4 25 pt38.jpg,eggs3countnCO1 Control 5-4 25 pt38.jpg,3,4,3.5,1
CO1 Control 5-4 3 pt45.jpg,eggs1countCO1 Control 5-4 3 pt45.jpg,eggs1countCO1 Control 5-4 3 pt45.jpg,1,1,1.0,0
nCO1 Lithium 5-4 21 pt37.jpg,eggs1countnCO1 Lithium 5-4 21 pt37.jpg,eggs1countnCO1 Lithium 5-4 21 pt37.jpg,1,1,1.0,0
CO1 Lithium 5-4 10 pt96.jpg,eggs1countCO1 Lithium 5-4 10 pt96.jpg,eggs1countCO1 Lithium 5-4 10 pt96.jpg,1,1,1.0,0
CO1 Lithium 5-4 37 pt48.jpg,eggs3countCO1 Lithium 5-4 37 pt48.jpg,eggs2countCO1 Lithium 5-4 37 pt48.jpg,2,3,2.5,1
ACO1 Lithium 5-4 11 pt6.jpg,eggs4countACO1 Lithium 5-4 11 pt6.jpg,eggs4countACO1 Lithium 5-4 11 pt6.jpg,4,4,4.0,0
CO1 Control 5-4 12 pt84.jpg,eggs1countCO1 Control 5-4 12 pt84.jpg,eggs1countCO1 Control 5-4 12 pt84.jpg,1,1,1.0,0
ACO1 Lithium 5-4 41 pt74.jpg,eggs2countACO1 Lithium 5-4 41 pt74.jpg,eggs2countACO1 Lithium 5-4 41 pt74.jpg,2,2,2.0,0
CO1 Lithium 5-4 13 pt37.jpg,eggs1countCO1 Lithium 5-4 13 pt37.jpg,eggs1countCO1 Lithium 5-4 13 pt37.jpg,1,1,1.0,0
CO1 Control 5-4 3 pt19.jpg,eggs2countCO1 Control 5-4 3 pt19.jpg,eggs2countCO1 Control 5-4 3 pt19.jpg,2,2,2.0,0
nCO1 Control 5-4 10 pt32.jpg,eggs1countnCO1 Control 5-4 10 pt32.jpg,eggs1countnCO1 Control 5-4 10 pt32.jpg,1,1,1.0,0
AO1 Lithium 5-4 33 pt59.jpg,eggs1countAO1 Lithium 5-4 33 pt59.jpg,eggs1countAO1 Lithium 5-4 33 pt59.jpg,1,1,1.0,0
CO1 Lithium 5-4 21 pt7.jpg,eggs2countCO1 Lithium 5-4 21 pt7.jpg,eggs2countCO1 Lithium 5-4 21 pt7.jpg,2,2,2.0,0
ACO1 Lithium 5-4 27 pt56.jpg,eggs2countACO1 Lithium 5-4 27 pt56.jpg,eggs2countACO1 Lithium 5-4 27 pt56.jpg,2,2,2.0,0
CO1 Lithium 5-4 35 pt17.jpg,eggs1countCO1 Lithium 5-4 35 pt17.jpg,eggs1countCO1 Lithium 5-4 35 pt17.jpg,1,1,1.0,0
ACO1 Control 5-4 2 pt4.jpg,eggs1countACO1 Control 5-4 2 pt4.jpg,eggs1countACO1 Control 5-4 2 pt4.jpg,1,1,1.0,0
AO1 Lithium 5-4 21 pt33.jpg,eggs1countAO1 Lithium 5-4 21 pt33.jpg,eggs1countAO1 Lithium 5-4 21 pt33.jpg,1,1,1.0,0
CO1 Lithium 5-4 27 pt52.jpg,eggs4countCO1 Lithium 5-4 27 pt52.jpg,eggs3countCO1 Lithium 5-4 27 pt52.jpg,3,4,3.5,1
AO1 Lithium 5-4 17 pt34.jpg,eggs1countAO1 Lithium 5-4 17 pt34.jpg,eggs1countAO1 Lithium 5-4 17 pt34.jpg,1,1,1.0,0
nCO1 Lithium 5-4 9 pt77.jpg,eggs5countnCO1 Lithium 5-4 9 pt77.jpg,eggs4countnCO1 Lithium 5-4 9 pt77.jpg,4,5,4.5,1
nCO1 Control 5-4 40 pt68.jpg,eggs1countnCO1 Control 5-4 40 pt68.jpg,eggs1countnCO1 Control 5-4 40 pt68.jpg,1,1,1.0,0
CO1 Lithium 5-4 20 pt35.jpg,eggs2countCO1 Lithium 5-4 20 pt35.jpg,eggs1countCO1 Lithium 5-4 20 pt35.jpg,1,2,1.5,1
CO1 Control 5-4 33 pt62.jpg,eggs4countCO1 Control 5-4 33 pt62.jpg,eggs4countCO1 Control 5-4 33 pt62.jpg,4,4,4.0,0
nCO1 Lithium 5-4 10 pt43.jpg,eggs2countnCO1 Lithium 5-4 10 pt43.jpg,eggs0countnCO1 Lithium 5-4 10 pt43.jpg,0,2,1.0,2
nCO1 Control 5-4 19 pt65.jpg,eggs1countnCO1 Control 5-4 19 pt65.jpg,eggs0countnCO1 Control 5-4 19 pt65.jpg,0,1,0.5,1
nCO1 Lithium 5-4 6 pt26.jpg,eggs1countnCO1 Lithium 5-4 6 pt26.jpg,eggs0countnCO1 Lithium 5-4 6 pt26.jpg,0,1,0.5,1
CO1 Lithium 5-4 37 pt42.jpg,eggs1countCO1 Lithium 5-4 37 pt42.jpg,eggs1countCO1 Lithium 5-4 37 pt42.jpg,1,1,1.0,0
nCO1 Control 5-4 22 pt27.jpg,eggs4countnCO1 Control 5-4 22 pt27.jpg,eggs3countnCO1 Control 5-4 22 pt27.jpg,3,4,3.5,1
CO1 Lithium 5-4 33 pt35.jpg,eggs1countCO1 Lithium 5-4 33 pt35.jpg,eggs1countCO1 Lithium 5-4 33 pt35.jpg,1,1,1.0,0
CO1 Lithium 5-4 36 pt27.jpg,eggs1countCO1 Lithium 5-4 36 pt27.jpg,eggs1countCO1 Lithium 5-4 36 pt27.jpg,1,1,1.0,0
ACO1 Control 5-4 31 pt14.jpg,eggs2countACO1 Control 5-4 31 pt14.jpg,eggs2countACO1 Control 5-4 31 pt14.jpg,2,2,2.0,0
CO1 Control 5-4 10 pt42.jpg,eggs6countCO1 Control 5-4 10 pt42.jpg,eggs2countCO1 Control 5-4 10 pt42.jpg,2,6,4.0,4
nCO1 Lithium 5-4 46 pt24.jpg,eggs2countnCO1 Lithium 5-4 46 pt24.jpg,eggs2countnCO1 Lithium 5-4 46 pt24.jpg,2,2,2.0,0
CO1 Control 5-4 15 pt35.jpg,eggs3countCO1 Control 5-4 15 pt35.jpg,eggs3countCO1 Control 5-4 15 pt35.jpg,3,3,3.0,0
nCO1 Lithium 5-4 19 pt22.jpg,eggs1countnCO1 Lithium 5-4 19 pt22.jpg,eggs1countnCO1 Lithium 5-4 19 pt22.jpg,1,1,1.0,0
nCO1 Control 5-4 14 pt77.jpg,eggs2countnCO1 Control 5-4 14 pt77.jpg,eggs2countnCO1 Control 5-4 14 pt77.jpg,2,2,2.0,0
AO1 Control 5-4 7 pt15.jpg,eggs1countAO1 Control 5-4 7 pt15.jpg,eggs0countAO1 Control 5-4 7 pt15.jpg,0,1,0.5,1
CO1 Lithium 5-4 44 pt26.jpg,eggs1countCO1 Lithium 5-4 44 pt26.jpg,eggs1countCO1 Lithium 5-4 44 pt26.jpg,1,1,1.0,0
CO1 Control 5-4 32 pt24.jpg,eggs1countCO1 Control 5-4 32 pt24.jpg,eggs1countCO1 Control 5-4 32 pt24.jpg,1,1,1.0,0
ACO1 Lithium 5-4 17 pt43.jpg,eggs1countACO1 Lithium 5-4 17 pt43.jpg,eggs1countACO1 Lithium 5-4 17 pt43.jpg,1,1,1.0,0
CO1 Control 5-4 14 pt53.jpg,eggs2countCO1 Control 5-4 14 pt53.jpg,eggs1countCO1 Control 5-4 14 pt53.jpg,1,2,1.5,1
CO1 Control 5-4 6 pt75.jpg,eggs1countCO1 Control 5-4 6 pt75.jpg,eggs1countCO1 Control 5-4 6 pt75.jpg,1,1,1.0,0
CO1 Lithium 5-4 30 pt86.jpg,eggs1countCO1 Lithium 5-4 30 pt86.jpg,eggs1countCO1 Lithium 5-4 30 pt86.jpg,1,1,1.0,0
CO1 Lithium 5-4 13 pt33.jpg,eggs1countCO1 Lithium 5-4 13 pt33.jpg,eggs0countCO1 Lithium 5-4 13 pt33.jpg,0,1,0.5,1
CO1 Control 5-4 40 pt46.jpg,eggs4countCO1 Control 5-4 40 pt46.jpg,eggs2countCO1 Control 5-4 40 pt46.jpg,2,4,3.0,2
ACO1 Lithium 5-4 6 pt65.jpg,eggs3countACO1 Lithium 5-4 6 pt65.jpg,eggs3countACO1 Lithium 5-4 6 pt65.jpg,3,3,3.0,0
CO1 Control 5-4 46 pt84.jpg,eggs1countCO1 Control 5-4 46 pt84.jpg,eggs1countCO1 Control 5-4 46 pt84.jpg,1,1,1.0,0
nCO1 Lithium 5-4 26 pt39.jpg,eggs1countnCO1 Lithium 5-4 26 pt39.jpg,eggs1countnCO1 Lithium 5-4 26 pt39.jpg,1,1,1.0,0
CO1 Control 5-4 32 pt77.jpg,eggs1countCO1 Control 5-4 32 pt77.jpg,eggs0countCO1 Control 5-4 32 pt77.jpg,0,1,0.5,1
ACO1 Control 5-4 22 pt34.jpg,eggs1countACO1 Control 5-4 22 pt34.jpg,eggs1countACO1 Control 5-4 22 pt34.jpg,1,1,1.0,0
ACO1 Control 5-4 19 pt65.jpg,eggs1countACO1 Control 5-4 19 pt65.jpg,eggs1countACO1 Control 5-4 19 pt65.jpg,1,1,1.0,0
AO1 Control 5-4 16 pt41.jpg,eggs2countAO1 Control 5-4 16 pt41.jpg,eggs2countAO1 Control 5-4 16 pt41.jpg,2,2,2.0,0
nCO1 Lithium 5-4 36 pt23.jpg,eggs4countnCO1 Lithium 5-4 36 pt23.jpg,eggs4countnCO1 Lithium 5-4 36 pt23.jpg,4,4,4.0,0
AO1 Control 5-4 13 pt74.jpg,eggs1countAO1 Control 5-4 13 pt74.jpg,eggs1countAO1 Control 5-4 13 pt74.jpg,1,1,1.0,0
AO1 Control 5-4 39 pt22.jpg,eggs2countAO1 Control 5-4 39 pt22.jpg,eggs2countAO1 Control 5-4 39 pt22.jpg,2,2,2.0,0
nCO1 Control 5-4 35 pt28.jpg,eggs1countnCO1 Control 5-4 35 pt28.jpg,eggs1countnCO1 Control 5-4 35 pt28.jpg,1,1,1.0,0
ACO1 Lithium 5-4 6 pt76.jpg,eggs2countACO1 Lithium 5-4 6 pt76.jpg,eggs2countACO1 Lithium 5-4 6 pt76.jpg,2,2,2.0,0
AO1 Control 5-4 12 pt27.jpg,eggs3countAO1 Control 5-4 12 pt27.jpg,eggs2countAO1 Control 5-4 12 pt27.jpg,2,3,2.5,1
CO1 Lithium 5-4 39 pt52.jpg,eggs2countCO1 Lithium 5-4 39 pt52.jpg,eggs1countCO1 Lithium 5-4 39 pt52.jpg,1,2,1.5,1
CO1 Lithium 5-4 48 pt38.jpg,eggs1countCO1 Lithium 5-4 48 pt38.jpg,eggs1countCO1 Lithium 5-4 48 pt38.jpg,1,1,1.0,0
nCO1 Control 5-4 7 pt75.jpg,eggs4countnCO1 Control 5-4 7 pt75.jpg,eggs3countnCO1 Control 5-4 7 pt75.jpg,3,4,3.5,1
CO1 Lithium 5-4 2 pt15.jpg,eggs1countCO1 Lithium 5-4 2 pt15.jpg,eggs1countCO1 Lithium 5-4 2 pt15.jpg,1,1,1.0,0
nCO1 Lithium 5-4 36 pt50.jpg,eggs1countnCO1 Lithium 5-4 36 pt50.jpg,eggs1countnCO1 Lithium 5-4 36 pt50.jpg,1,1,1.0,0
CO1 Control 5-4 21 pt3.jpg,eggs1countCO1 Control 5-4 21 pt3.jpg,eggs1countCO1 Control 5-4 21 pt3.jpg,1,1,1.0,0
ACO1 Lithium 5-4 17 pt69.jpg,eggs3countACO1 Lithium 5-4 17 pt69.jpg,eggs2countACO1 Lithium 5-4 17 pt69.jpg,2,3,2.5,1
CO1 Control 5-4 42 pt43.jpg,eggs1countCO1 Control 5-4 42 pt43.jpg,eggs1countCO1 Control 5-4 42 pt43.jpg,1,1,1.0,0
nCO1 Lithium 5-4 17 pt14.jpg,eggs6countnCO1 Lithium 5-4 17 pt14.jpg,eggs5countnCO1 Lithium 5-4 17 pt14.jpg,5,6,5.5,1
CO1 Control 5-4 10 pt37.jpg,eggs1countCO1 Control 5-4 10 pt37.jpg,eggs1countCO1 Control 5-4 10 pt37.jpg,1,1,1.0,0
ACO1 Lithium 5-4 11 pt14.jpg,eggs2countACO1 Lithium 5-4 11 pt14.jpg,eggs2countACO1 Lithium 5-4 11 pt14.jpg,2,2,2.0,0
CO1 Lithium 5-4 33 pt44.jpg,eggs1countCO1 Lithium 5-4 33 pt44.jpg,eggs1countCO1 Lithium 5-4 33 pt44.jpg,1,1,1.0,0
ACO1 Lithium 5-4 22 pt58.jpg,eggs3countACO1 Lithium 5-4 22 pt58.jpg,eggs3countACO1 Lithium 5-4 22 pt58.jpg,3,3,3.0,0
CO1 Control 5-4 21 pt31.jpg,eggs1countCO1 Control 5-4 21 pt31.jpg,eggs1countCO1 Control 5-4 21 pt31.jpg,1,1,1.0,0
nCO1 Control 5-4 19 pt44.jpg,eggs3countnCO1 Control 5-4 19 pt44.jpg,eggs1countnCO1 Control 5-4 19 pt44.jpg,1,3,2.0,2
AO1 Control 5-4 8 pt26.jpg,eggs1countAO1 Control 5-4 8 pt26.jpg,eggs1countAO1 Control 5-4 8 pt26.jpg,1,1,1.0,0
CO1 Lithium 5-4 20 pt65.jpg,eggs1countCO1 Lithium 5-4 20 pt65.jpg,eggs1countCO1 Lithium 5-4 20 pt65.jpg,1,1,1.0,0
CO1 Control 5-4 35 pt58.jpg,eggs1countCO1 Control 5-4 35 pt58.jpg,eggs1countCO1 Control 5-4 35 pt58.jpg,1,1,1.0,0
AO1 Lithium 5-4 1 pt27.jpg,eggs3countAO1 Lithium 5-4 1 pt27.jpg,eggs2countAO1 Lithium 5-4 1 pt27.jpg,2,3,2.5,1
AO1 Lithium 5-4 26 pt46.jpg,eggs1countAO1 Lithium 5-4 26 pt46.jpg,eggs1countAO1 Lithium 5-4 26 pt46.jpg,1,1,1.0,0
nCO1 Lithium 5-4 39 pt88.jpg,eggs1countnCO1 Lithium 5-4 39 pt88.jpg,eggs1countnCO1 Lithium 5-4 39 pt88.jpg,1,1,1.0,0
AO1 Control 5-4 9 pt87.jpg,eggs2countAO1 Control 5-4 9 pt87.jpg,eggs2countAO1 Control 5-4 9 pt87.jpg,2,2,2.0,0
ACO1 Lithium 5-4 17 pt37.jpg,eggs1countACO1 Lithium 5-4 17 pt37.jpg,eggs0countACO1 Lithium 5-4 17 pt37.jpg,0,1,0.5,1
CO1 Lithium 5-4 39 pt15.jpg,eggs7countCO1 Lithium 5-4 39 pt15.jpg,eggs8countCO1 Lithium 5-4 39 pt15.jpg,8,7,7.5,-1
ACO1 Lithium 5-4 42 pt4.jpg,eggs1countACO1 Lithium 5-4 42 pt4.jpg,eggs1countACO1 Lithium 5-4 42 pt4.jpg,1,1,1.0,0
AO1 Control 5-4 33 pt29.jpg,eggs2countAO1 Control 5-4 33 pt29.jpg,eggs1countAO1 Control 5-4 33 pt29.jpg,1,2,1.5,1
nCO1 Control 5-4 11 pt29.jpg,eggs2countnCO1 Control 5-4 11 pt29.jpg,eggs2countnCO1 Control 5-4 11 pt29.jpg,2,2,2.0,0
ACO1 Lithium 5-4 41 pt53.jpg,eggs1countACO1 Lithium 5-4 41 pt53.jpg,eggs1countACO1 Lithium 5-4 41 pt53.jpg,1,1,1.0,0
nCO1 Lithium 5-4 13 pt52.jpg,eggs2countnCO1 Lithium 5-4 13 pt52.jpg,eggs0countnCO1 Lithium 5-4 13 pt52.jpg,0,2,1.0,2
CO1 Lithium 5-4 21 pt39.jpg,eggs2countCO1 Lithium 5-4 21 pt39.jpg,eggs2countCO1 Lithium 5-4 21 pt39.jpg,2,2,2.0,0
ACO1 Control 5-4 37 pt4.jpg,eggs1countACO1 Control 5-4 37 pt4.jpg,eggs1countACO1 Control 5-4 37 pt4.jpg,1,1,1.0,0
AO1 Control 5-4 33 pt47.jpg,eggs2countAO1 Control 5-4 33 pt47.jpg,eggs2countAO1 Control 5-4 33 pt47.jpg,2,2,2.0,0
nCO1 Control 5-4 32 pt49.jpg,eggs1countnCO1 Control 5-4 32 pt49.jpg,eggs1countnCO1 Control 5-4 32 pt49.jpg,1,1,1.0,0
nCO1 Lithium 5-4 38 pt50.jpg,eggs1countnCO1 Lithium 5-4 38 pt50.jpg,eggs0countnCO1 Lithium 5-4 38 pt50.jpg,0,1,0.5,1
AO1 Control 5-4 6 pt19.jpg,eggs1countAO1 Control 5-4 6 pt19.jpg,eggs1countAO1 Control 5-4 6 pt19.jpg,1,1,1.0,0
ACO1 Lithium 5-4 17 pt58.jpg,eggs2countACO1 Lithium 5-4 17 pt58.jpg,eggs2countACO1 Lithium 5-4 17 pt58.jpg,2,2,2.0,0
CO1 Control 5-4 37 pt40.jpg,eggs3countCO1 Control 5-4 37 pt40.jpg,eggs0countCO1 Control 5-4 37 pt40.jpg,0,3,1.5,3
CO1 Lithium 5-4 37 pt77.jpg,eggs2countCO1 Lithium 5-4 37 pt77.jpg,eggs2countCO1 Lithium 5-4 37 pt77.jpg,2,2,2.0,0
nCO1 Control 5-4 13 pt59.jpg,eggs1countnCO1 Control 5-4 13 pt59.jpg,eggs1countnCO1 Control 5-4 13 pt59.jpg,1,1,1.0,0
nCO1 Lithium 5-4 42 pt75.jpg,eggs2countnCO1 Lithium 5-4 42 pt75.jpg,eggs1countnCO1 Lithium 5-4 42 pt75.jpg,1,2,1.5,1
nCO1 Lithium 5-4 15 pt66.jpg,eggs2countnCO1 Lithium 5-4 15 pt66.jpg,eggs2countnCO1 Lithium 5-4 15 pt66.jpg,2,2,2.0,0
nCO1 Lithium 5-4 10 pt24.jpg,eggs4countnCO1 Lithium 5-4 10 pt24.jpg,eggs2countnCO1 Lithium 5-4 10 pt24.jpg,2,4,3.0,2
CO1 Control 5-4 16 pt64.jpg,eggs2countCO1 Control 5-4 16 pt64.jpg,eggs1countCO1 Control 5-4 16 pt64.jpg,1,2,1.5,1
CO1 Lithium 5-4 26 pt40.jpg,eggs1countCO1 Lithium 5-4 26 pt40.jpg,eggs0countCO1 Lithium 5-4 26 pt40.jpg,0,1,0.5,1
CO1 Control 5-4 7 pt78.jpg,eggs1countCO1 Control 5-4 7 pt78.jpg,eggs1countCO1 Control 5-4 7 pt78.jpg,1,1,1.0,0
CO1 Lithium 5-4 31 pt86.jpg,eggs1countCO1 Lithium 5-4 31 pt86.jpg,eggs1countCO1 Lithium 5-4 31 pt86.jpg,1,1,1.0,0
ACO1 Control 5-4 31 pt75.jpg,eggs2countACO1 Control 5-4 31 pt75.jpg,eggs2countACO1 Control 5-4 31 pt75.jpg,2,2,2.0,0
CO1 Lithium 5-4 10 pt37.jpg,eggs3countCO1 Lithium 5-4 10 pt37.jpg,eggs1countCO1 Lithium 5-4 10 pt37.jpg,1,3,2.0,2
AO1 Lithium 5-4 9 pt85.jpg,eggs1countAO1 Lithium 5-4 9 pt85.jpg,eggs1countAO1 Lithium 5-4 9 pt85.jpg,1,1,1.0,0
CO1 Lithium 5-4 41 pt75.jpg,eggs4countCO1 Lithium 5-4 41 pt75.jpg,eggs2countCO1 Lithium 5-4 41 pt75.jpg,2,4,3.0,2
CO1 Lithium 5-4 43 pt26.jpg,eggs2countCO1 Lithium 5-4 43 pt26.jpg,eggs2countCO1 Lithium 5-4 43 pt26.jpg,2,2,2.0,0
CO1 Lithium 5-4 37 pt35.jpg,eggs2countCO1 Lithium 5-4 37 pt35.jpg,eggs2countCO1 Lithium 5-4 37 pt35.jpg,2,2,2.0,0
CO1 Lithium 5-4 41 pt52.jpg,eggs3countCO1 Lithium 5-4 41 pt52.jpg,eggs3countCO1 Lithium 5-4 41 pt52.jpg,3,3,3.0,0
ACO1 Control 5-4 46 pt48.jpg,eggs4countACO1 Control 5-4 46 pt48.jpg,eggs0countACO1 Control 5-4 46 pt48.jpg,0,4,2.0,4
ACO1 Lithium 5-4 8 pt49.jpg,eggs1countACO1 Lithium 5-4 8 pt49.jpg,eggs0countACO1 Lithium 5-4 8 pt49.jpg,0,1,0.5,1
AO1 Control 5-4 46 pt6.jpg,eggs1countAO1 Control 5-4 46 pt6.jpg,eggs0countAO1 Control 5-4 46 pt6.jpg,0,1,0.5,1
CO1 Lithium 5-4 29 pt69.jpg,eggs5countCO1 Lithium 5-4 29 pt69.jpg,eggs5countCO1 Lithium 5-4 29 pt69.jpg,5,5,5.0,0
CO1 Lithium 5-4 28 pt54.jpg,eggs1countCO1 Lithium 5-4 28 pt54.jpg,eggs1countCO1 Lithium 5-4 28 pt54.jpg,1,1,1.0,0
CO1 Control 5-4 31 pt75.jpg,eggs3countCO1 Control 5-4 31 pt75.jpg,eggs2countCO1 Control 5-4 31 pt75.jpg,2,3,2.5,1
CO1 Lithium 5-4 15 pt33.jpg,eggs3countCO1 Lithium 5-4 15 pt33.jpg,eggs3countCO1 Lithium 5-4 15 pt33.jpg,3,3,3.0,0
nCO1 Control 5-4 20 pt33.jpg,eggs3countnCO1 Control 5-4 20 pt33.jpg,eggs2countnCO1 Control 5-4 20 pt33.jpg,2,3,2.5,1
CO1 Control 5-4 40 pt27.jpg,eggs2countCO1 Control 5-4 40 pt27.jpg,eggs1countCO1 Control 5-4 40 pt27.jpg,1,2,1.5,1
nCO1 Control 5-4 11 pt44.jpg,eggs3countnCO1 Control 5-4 11 pt44.jpg,eggs2countnCO1 Control 5-4 11 pt44.jpg,2,3,2.5,1
AO1 Control 5-4 16 pt37.jpg,eggs1countAO1 Control 5-4 16 pt37.jpg,eggs0countAO1 Control 5-4 16 pt37.jpg,0,1,0.5,1
nCO1 Control 5-4 27 pt53.jpg,eggs2countnCO1 Control 5-4 27 pt53.jpg,eggs1countnCO1 Control 5-4 27 pt53.jpg,1,2,1.5,1
CO1 Lithium 5-4 40 pt52.jpg,eggs2countCO1 Lithium 5-4 40 pt52.jpg,eggs2countCO1 Lithium 5-4 40 pt52.jpg,2,2,2.0,0
CO1 Lithium 5-4 5 pt55.jpg,eggs2countCO1 Lithium 5-4 5 pt55.jpg,eggs2countCO1 Lithium 5-4 5 pt55.jpg,2,2,2.0,0
CO1 Control 5-4 26 pt16.jpg,eggs3countCO1 Control 5-4 26 pt16.jpg,eggs2countCO1 Control 5-4 26 pt16.jpg,2,3,2.5,1
CO1 Lithium 5-4 23 pt17.jpg,eggs2countCO1 Lithium 5-4 23 pt17.jpg,eggs1countCO1 Lithium 5-4 23 pt17.jpg,1,2,1.5,1
nCO1 Control 5-4 44 pt22.jpg,eggs2countnCO1 Control 5-4 44 pt22.jpg,eggs1countnCO1 Control 5-4 44 pt22.jpg,1,2,1.5,1
CO1 Control 5-4 46 pt47.jpg,eggs1countCO1 Control 5-4 46 pt47.jpg,eggs1countCO1 Control 5-4 46 pt47.jpg,1,1,1.0,0
nCO1 Lithium 5-4 25 pt22.jpg,eggs1countnCO1 Lithium 5-4 25 pt22.jpg,eggs1countnCO1 Lithium 5-4 25 pt22.jpg,1,1,1.0,0
CO1 Lithium 5-4 33 pt54.jpg,eggs1countCO1 Lithium 5-4 33 pt54.jpg,eggs0countCO1 Lithium 5-4 33 pt54.jpg,0,1,0.5,1
CO1 Control 5-4 12 pt47.jpg,eggs1countCO1 Control 5-4 12 pt47.jpg,eggs1countCO1 Control 5-4 12 pt47.jpg,1,1,1.0,0
nCO1 Lithium 5-4 1 pt25.jpg,eggs4countnCO1 Lithium 5-4 1 pt25.jpg,eggs2countnCO1 Lithium 5-4 1 pt25.jpg,2,4,3.0,2
ACO1 Control 5-4 46 pt52.jpg,eggs1countACO1 Control 5-4 46 pt52.jpg,eggs0countACO1 Control 5-4 46 pt52.jpg,0,1,0.5,1
CO1 Lithium 5-4 17 pt12.jpg,eggs2countCO1 Lithium 5-4 17 pt12.jpg,eggs1countCO1 Lithium 5-4 17 pt12.jpg,1,2,1.5,1
CO1 Lithium 5-4 3 pt60.jpg,eggs2countCO1 Lithium 5-4 3 pt60.jpg,eggs1countCO1 Lithium 5-4 3 pt60.jpg,1,2,1.5,1
ACO1 Control 5-4 44 pt43.jpg,eggs2countACO1 Control 5-4 44 pt43.jpg,eggs1countACO1 Control 5-4 44 pt43.jpg,1,2,1.5,1
CO1 Control 5-4 27 pt48.jpg,eggs2countCO1 Control 5-4 27 pt48.jpg,eggs2countCO1 Control 5-4 27 pt48.jpg,2,2,2.0,0
nCO1 Control 5-4 21 pt48.jpg,eggs2countnCO1 Control 5-4 21 pt48.jpg,eggs1countnCO1 Control 5-4 21 pt48.jpg,1,2,1.5,1
CO1 Control 5-4 34 pt4.jpg,eggs9countCO1 Control 5-4 34 pt4.jpg,eggs0countCO1 Control 5-4 34 pt4.jpg,0,9,4.5,9
ACO1 Lithium 5-4 44 pt59.jpg,eggs2countACO1 Lithium 5-4 44 pt59.jpg,eggs2countACO1 Lithium 5-4 44 pt59.jpg,2,2,2.0,0
nCO1 Lithium 5-4 13 pt38.jpg,eggs3countnCO1 Lithium 5-4 13 pt38.jpg,eggs2countnCO1 Lithium 5-4 13 pt38.jpg,2,3,2.5,1
nCO1 Lithium 5-4 50 pt57.jpg,eggs1countnCO1 Lithium 5-4 50 pt57.jpg,eggs1countnCO1 Lithium 5-4 50 pt57.jpg,1,1,1.0,0
CO1 Lithium 5-4 29 pt85.jpg,eggs1countCO1 Lithium 5-4 29 pt85.jpg,eggs0countCO1 Lithium 5-4 29 pt85.jpg,0,1,0.5,1
CO1 Control 5-4 31 pt67.jpg,eggs4countCO1 Control 5-4 31 pt67.jpg,eggs4countCO1 Control 5-4 31 pt67.jpg,4,4,4.0,0
nCO1 Control 5-4 17 pt28.jpg,eggs2countnCO1 Control 5-4 17 pt28.jpg,eggs1countnCO1 Control 5-4 17 pt28.jpg,1,2,1.5,1
CO1 Lithium 5-4 11 pt35.jpg,eggs1countCO1 Lithium 5-4 11 pt35.jpg,eggs1countCO1 Lithium 5-4 11 pt35.jpg,1,1,1.0,0
CO1 Control 5-4 4 pt78.jpg,eggs1countCO1 Control 5-4 4 pt78.jpg,eggs1countCO1 Control 5-4 4 pt78.jpg,1,1,1.0,0
CO1 Control 5-4 45 pt67.jpg,eggs6countCO1 Control 5-4 45 pt67.jpg,eggs4countCO1 Control 5-4 45 pt67.jpg,4,6,5.0,2
