RootImage,FileName,PrimaryFileName,SecondaryFileName,PrimaryCount,SecondaryCount,BotCount,Mean,PrimaryDiff,SecondaryDiff,BotDiff
NCO1 Lithium 5-1 5,NCO1 Lithium 5-1 5 pt65.jpg,eggs1countNCO1 Lithium 5-1 5 pt65.jpg,eggs1countNCO1 Lithium 5-1 5 pt65.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 47,NCO1 Lithium 5-1 47 pt23.jpg,eggs3countNCO1 Lithium 5-1 47 pt23.jpg,eggs3countNCO1 Lithium 5-1 47 pt23.jpg,3,3,4,3.0,0.0,0.0,1.0
CO1 Control 5-1 38,CO1 Control 5-1 38 pt62.jpg,eggs4countCO1 Control 5-1 38 pt62.jpg,eggs4countCO1 Control 5-1 38 pt62.jpg,4,4,4,4.0,0.0,0.0,0.0
CO1 Control 5-1 46,CO1 Control 5-1 46 pt53.jpg,eggs1countCO1 Control 5-1 46 pt53.jpg,eggs1countCO1 Control 5-1 46 pt53.jpg,1,1,0,1.0,0.0,0.0,1.0
ACO1 Control 5-1 21,ACO1 Control 5-1 21 pt67.jpg,eggs2countACO1 Control 5-1 21 pt67.jpg,eggs2countACO1 Control 5-1 21 pt67.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 48,NCO1 Lithium 5-1 48 pt32.jpg,eggs1countNCO1 Lithium 5-1 48 pt32.jpg,eggs1countNCO1 Lithium 5-1 48 pt32.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Control 5-1 44,CO1 Control 5-1 44 pt85.jpg,eggs2countCO1 Control 5-1 44 pt85.jpg,eggs2countCO1 Control 5-1 44 pt85.jpg,2,2,1,2.0,0.0,0.0,1.0
ACO1 Lithium 5-1 43,ACO1 Lithium 5-1 43 pt28.jpg,eggs1countACO1 Lithium 5-1 43 pt28.jpg,eggs1countACO1 Lithium 5-1 43 pt28.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 13,NCO1 Control 5-1 13 pt29.jpg,eggs1countNCO1 Control 5-1 13 pt29.jpg,eggs1countNCO1 Control 5-1 13 pt29.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Lithium 5-1 10,ACO1 Lithium 5-1 10 pt23.jpg,eggs1countACO1 Lithium 5-1 10 pt23.jpg,eggs1countACO1 Lithium 5-1 10 pt23.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Lithium 5-1 22,ACO1 Lithium 5-1 22 pt78.jpg,eggs2countACO1 Lithium 5-1 22 pt78.jpg,eggs2countACO1 Lithium 5-1 22 pt78.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 45,NCO1 Lithium 5-1 45 pt36.jpg,eggs1countNCO1 Lithium 5-1 45 pt36.jpg,eggs1countNCO1 Lithium 5-1 45 pt36.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 14,NCO1 Control 5-1 14 pt49.jpg,eggs2countNCO1 Control 5-1 14 pt49.jpg,eggs3countNCO1 Control 5-1 14 pt49.jpg,2,3,4,2.5,0.5,0.5,1.5
NCO1 Lithium 5-1 41,NCO1 Lithium 5-1 41 pt12.jpg,eggs4countNCO1 Lithium 5-1 41 pt12.jpg,eggs1countNCO1 Lithium 5-1 41 pt12.jpg,4,1,2,2.5,1.5,1.5,0.5
NCO1 Lithium 5-1 32,NCO1 Lithium 5-1 32 pt74.jpg,eggs2countNCO1 Lithium 5-1 32 pt74.jpg,eggs1countNCO1 Lithium 5-1 32 pt74.jpg,2,1,2,1.5,0.5,0.5,0.5
ACO1 Control 5-1 11,ACO1 Control 5-1 11 pt46.jpg,eggs1countACO1 Control 5-1 11 pt46.jpg,eggs1countACO1 Control 5-1 11 pt46.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Lithium 5-1 2,AO1 Lithium 5-1 2 pt68.jpg,eggs1countAO1 Lithium 5-1 2 pt68.jpg,eggs1countAO1 Lithium 5-1 2 pt68.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 38,NCO1 Lithium 5-1 38 pt67.jpg,eggs4countNCO1 Lithium 5-1 38 pt67.jpg,eggs4countNCO1 Lithium 5-1 38 pt67.jpg,4,4,4,4.0,0.0,0.0,0.0
ACO1 Lithium 5-1 17,ACO1 Lithium 5-1 17 pt39.jpg,eggs4countACO1 Lithium 5-1 17 pt39.jpg,eggs1countACO1 Lithium 5-1 17 pt39.jpg,4,1,3,2.5,1.5,1.5,0.5
CO1 Lithium 5-1 13,CO1 Lithium 5-1 13 pt69.jpg,eggs6countCO1 Lithium 5-1 13 pt69.jpg,eggs6countCO1 Lithium 5-1 13 pt69.jpg,6,6,6,6.0,0.0,0.0,0.0
ACO1 Lithium 5-1 13,ACO1 Lithium 5-1 13 pt39.jpg,eggs2countACO1 Lithium 5-1 13 pt39.jpg,eggs2countACO1 Lithium 5-1 13 pt39.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Lithium 5-1 34,CO1 Lithium 5-1 34 pt86.jpg,eggs3countCO1 Lithium 5-1 34 pt86.jpg,eggs3countCO1 Lithium 5-1 34 pt86.jpg,3,3,2,3.0,0.0,0.0,1.0
CO1 Lithium 5-1 17,CO1 Lithium 5-1 17 pt47.jpg,eggs1countCO1 Lithium 5-1 17 pt47.jpg,eggs1countCO1 Lithium 5-1 17 pt47.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 33,AO1 Control 5-1 33 pt87.jpg,eggs1countAO1 Control 5-1 33 pt87.jpg,eggs1countAO1 Control 5-1 33 pt87.jpg,1,1,0,1.0,0.0,0.0,1.0
NCO1 Control 5-1 25,NCO1 Control 5-1 25 pt88.jpg,eggs1countNCO1 Control 5-1 25 pt88.jpg,eggs1countNCO1 Control 5-1 25 pt88.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Lithium 5-1 24,ACO1 Lithium 5-1 24 pt36.jpg,eggs3countACO1 Lithium 5-1 24 pt36.jpg,eggs2countACO1 Lithium 5-1 24 pt36.jpg,3,2,3,2.5,0.5,0.5,0.5
NCO1 Lithium 5-1 13,NCO1 Lithium 5-1 13 pt54.jpg,eggs2countNCO1 Lithium 5-1 13 pt54.jpg,eggs2countNCO1 Lithium 5-1 13 pt54.jpg,2,2,2,2.0,0.0,0.0,0.0
ACO1 Control 5-1 6,ACO1 Control 5-1 6 pt62.jpg,eggs2countACO1 Control 5-1 6 pt62.jpg,eggs1countACO1 Control 5-1 6 pt62.jpg,2,1,2,1.5,0.5,0.5,0.5
CO1 Control 5-1 20,CO1 Control 5-1 20 pt13.jpg,eggs1countCO1 Control 5-1 20 pt13.jpg,eggs1countCO1 Control 5-1 20 pt13.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Control 5-1 14,CO1 Control 5-1 14 pt63.jpg,eggs0countCO1 Control 5-1 14 pt63.jpg,eggs1countCO1 Control 5-1 14 pt63.jpg,0,1,0,0.5,0.5,0.5,0.5
NCO1 Lithium 5-1 26,NCO1 Lithium 5-1 26 pt79.jpg,eggs1countNCO1 Lithium 5-1 26 pt79.jpg,eggs1countNCO1 Lithium 5-1 26 pt79.jpg,1,1,2,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 28,NCO1 Lithium 5-1 28 pt66.jpg,eggs1countNCO1 Lithium 5-1 28 pt66.jpg,eggs1countNCO1 Lithium 5-1 28 pt66.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 20,AO1 Control 5-1 20 pt23.jpg,eggs3countAO1 Control 5-1 20 pt23.jpg,eggs3countAO1 Control 5-1 20 pt23.jpg,3,3,2,3.0,0.0,0.0,1.0
CO1 Lithium 5-1 15,CO1 Lithium 5-1 15 pt48.jpg,eggs3countCO1 Lithium 5-1 15 pt48.jpg,eggs3countCO1 Lithium 5-1 15 pt48.jpg,3,3,3,3.0,0.0,0.0,0.0
CO1 Lithium 5-1 8,CO1 Lithium 5-1 8 pt33.jpg,eggs1countCO1 Lithium 5-1 8 pt33.jpg,eggs1countCO1 Lithium 5-1 8 pt33.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 12,CO1 Lithium 5-1 12 pt25.jpg,eggs1countCO1 Lithium 5-1 12 pt25.jpg,eggs1countCO1 Lithium 5-1 12 pt25.jpg,1,1,2,1.0,0.0,0.0,1.0
ACO1 Lithium 5-1 31,ACO1 Lithium 5-1 31 pt17.jpg,eggs1countACO1 Lithium 5-1 31 pt17.jpg,eggs1countACO1 Lithium 5-1 31 pt17.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 31,ACO1 Control 5-1 31 pt32.jpg,eggs3countACO1 Control 5-1 31 pt32.jpg,eggs3countACO1 Control 5-1 31 pt32.jpg,3,3,3,3.0,0.0,0.0,0.0
CO1 Lithium 5-1 37,CO1 Lithium 5-1 37 pt25.jpg,eggs2countCO1 Lithium 5-1 37 pt25.jpg,eggs2countCO1 Lithium 5-1 37 pt25.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 33,NCO1 Lithium 5-1 33 pt60.jpg,eggs1countNCO1 Lithium 5-1 33 pt60.jpg,eggs1countNCO1 Lithium 5-1 33 pt60.jpg,1,1,2,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 46,NCO1 Lithium 5-1 46 pt75.jpg,eggs3countNCO1 Lithium 5-1 46 pt75.jpg,eggs3countNCO1 Lithium 5-1 46 pt75.jpg,3,3,3,3.0,0.0,0.0,0.0
AO1 Lithium 5-1 49,AO1 Lithium 5-1 49 pt68.jpg,eggs1countAO1 Lithium 5-1 49 pt68.jpg,eggs1countAO1 Lithium 5-1 49 pt68.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 46,NCO1 Lithium 5-1 46 pt16.jpg,eggs2countNCO1 Lithium 5-1 46 pt16.jpg,eggs2countNCO1 Lithium 5-1 46 pt16.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 18,NCO1 Lithium 5-1 18 pt78.jpg,eggs2countNCO1 Lithium 5-1 18 pt78.jpg,eggs1countNCO1 Lithium 5-1 18 pt78.jpg,2,1,2,1.5,0.5,0.5,0.5
NCO1 Control 5-1 33,NCO1 Control 5-1 33 pt68.jpg,eggs2countNCO1 Control 5-1 33 pt68.jpg,eggs1countNCO1 Control 5-1 33 pt68.jpg,2,1,1,1.5,0.5,0.5,0.5
AO1 Lithium 5-1 4,AO1 Lithium 5-1 4 pt36.jpg,eggs6countAO1 Lithium 5-1 4 pt36.jpg,eggs5countAO1 Lithium 5-1 4 pt36.jpg,6,5,5,5.5,0.5,0.5,0.5
AO1 Control 5-1 50,AO1 Control 5-1 50 pt13.jpg,eggs5countAO1 Control 5-1 50 pt13.jpg,eggs4countAO1 Control 5-1 50 pt13.jpg,5,4,4,4.5,0.5,0.5,0.5
AO1 Control 5-1 35,AO1 Control 5-1 35 pt77.jpg,eggs2countAO1 Control 5-1 35 pt77.jpg,eggs2countAO1 Control 5-1 35 pt77.jpg,2,2,1,2.0,0.0,0.0,1.0
NCO1 Lithium 5-1 32,NCO1 Lithium 5-1 32 pt78.jpg,eggs2countNCO1 Lithium 5-1 32 pt78.jpg,eggs2countNCO1 Lithium 5-1 32 pt78.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 36,NCO1 Lithium 5-1 36 pt16.jpg,eggs1countNCO1 Lithium 5-1 36 pt16.jpg,eggs1countNCO1 Lithium 5-1 36 pt16.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 47,NCO1 Lithium 5-1 47 pt17.jpg,eggs2countNCO1 Lithium 5-1 47 pt17.jpg,eggs1countNCO1 Lithium 5-1 47 pt17.jpg,2,1,2,1.5,0.5,0.5,0.5
CO1 Control 5-1 14,CO1 Control 5-1 14 pt57.jpg,eggs3countCO1 Control 5-1 14 pt57.jpg,eggs3countCO1 Control 5-1 14 pt57.jpg,3,3,3,3.0,0.0,0.0,0.0
CO1 Control 5-1 15,CO1 Control 5-1 15 pt78.jpg,eggs4countCO1 Control 5-1 15 pt78.jpg,eggs3countCO1 Control 5-1 15 pt78.jpg,4,3,4,3.5,0.5,0.5,0.5
NCO1 Control 5-1 20,NCO1 Control 5-1 20 pt68.jpg,eggs1countNCO1 Control 5-1 20 pt68.jpg,eggs1countNCO1 Control 5-1 20 pt68.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 15,AO1 Control 5-1 15 pt27.jpg,eggs1countAO1 Control 5-1 15 pt27.jpg,eggs1countAO1 Control 5-1 15 pt27.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Control 5-1 7,CO1 Control 5-1 7 pt63.jpg,eggs1countCO1 Control 5-1 7 pt63.jpg,eggs1countCO1 Control 5-1 7 pt63.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 32,NCO1 Lithium 5-1 32 pt14.jpg,eggs2countNCO1 Lithium 5-1 32 pt14.jpg,eggs1countNCO1 Lithium 5-1 32 pt14.jpg,2,1,2,1.5,0.5,0.5,0.5
NCO1 Lithium 5-1 44,NCO1 Lithium 5-1 44 pt56.jpg,eggs2countNCO1 Lithium 5-1 44 pt56.jpg,eggs2countNCO1 Lithium 5-1 44 pt56.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Control 5-1 44,NCO1 Control 5-1 44 pt73.jpg,eggs7countNCO1 Control 5-1 44 pt73.jpg,eggs5countNCO1 Control 5-1 44 pt73.jpg,7,5,8,6.0,1.0,1.0,2.0
ACO1 Control 5-1 23,ACO1 Control 5-1 23 pt36.jpg,eggs1countACO1 Control 5-1 23 pt36.jpg,eggs1countACO1 Control 5-1 23 pt36.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Lithium 5-1 36,AO1 Lithium 5-1 36 pt68.jpg,eggs2countAO1 Lithium 5-1 36 pt68.jpg,eggs2countAO1 Lithium 5-1 36 pt68.jpg,2,2,3,2.0,0.0,0.0,1.0
NCO1 Control 5-1 48,NCO1 Control 5-1 48 pt15.jpg,eggs2countNCO1 Control 5-1 48 pt15.jpg,eggs2countNCO1 Control 5-1 48 pt15.jpg,2,2,3,2.0,0.0,0.0,1.0
AO1 Lithium 5-1 41,AO1 Lithium 5-1 41 pt28.jpg,eggs1countAO1 Lithium 5-1 41 pt28.jpg,eggs1countAO1 Lithium 5-1 41 pt28.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 1,CO1 Lithium 5-1 1 pt54.jpg,eggs1countCO1 Lithium 5-1 1 pt54.jpg,eggs1countCO1 Lithium 5-1 1 pt54.jpg,1,1,2,1.0,0.0,0.0,1.0
ACO1 Control 5-1 18,ACO1 Control 5-1 18 pt5.jpg,eggs1countACO1 Control 5-1 18 pt5.jpg,eggs1countACO1 Control 5-1 18 pt5.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 43,ACO1 Control 5-1 43 pt66.jpg,eggs5countACO1 Control 5-1 43 pt66.jpg,eggs4countACO1 Control 5-1 43 pt66.jpg,5,4,2,4.5,0.5,0.5,2.5
NCO1 Control 5-1 17,NCO1 Control 5-1 17 pt45.jpg,eggs2countNCO1 Control 5-1 17 pt45.jpg,eggs2countNCO1 Control 5-1 17 pt45.jpg,2,2,1,2.0,0.0,0.0,1.0
CO1 Lithium 5-1 41,CO1 Lithium 5-1 41 pt27.jpg,eggs5countCO1 Lithium 5-1 41 pt27.jpg,eggs3countCO1 Lithium 5-1 41 pt27.jpg,5,3,3,4.0,1.0,1.0,1.0
AO1 Control 5-1 29,AO1 Control 5-1 29 pt68.jpg,eggs1countAO1 Control 5-1 29 pt68.jpg,eggs1countAO1 Control 5-1 29 pt68.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 37,NCO1 Control 5-1 37 pt22.jpg,eggs5countNCO1 Control 5-1 37 pt22.jpg,eggs3countNCO1 Control 5-1 37 pt22.jpg,5,3,4,4.0,1.0,1.0,0.0
NCO1 Lithium 5-1 7,NCO1 Lithium 5-1 7 pt15.jpg,eggs3countNCO1 Lithium 5-1 7 pt15.jpg,eggs2countNCO1 Lithium 5-1 7 pt15.jpg,3,2,2,2.5,0.5,0.5,0.5
ACO1 Control 5-1 38,ACO1 Control 5-1 38 pt32.jpg,eggs1countACO1 Control 5-1 38 pt32.jpg,eggs1countACO1 Control 5-1 38 pt32.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Control 5-1 37,ACO1 Control 5-1 37 pt74.jpg,eggs1countACO1 Control 5-1 37 pt74.jpg,eggs1countACO1 Control 5-1 37 pt74.jpg,1,1,0,1.0,0.0,0.0,1.0
CO1 Control 5-1 49,CO1 Control 5-1 49 pt13.jpg,eggs2countCO1 Control 5-1 49 pt13.jpg,eggs1countCO1 Control 5-1 49 pt13.jpg,2,1,1,1.5,0.5,0.5,0.5
AO1 Lithium 5-1 25,AO1 Lithium 5-1 25 pt41.jpg,eggs2countAO1 Lithium 5-1 25 pt41.jpg,eggs1countAO1 Lithium 5-1 25 pt41.jpg,2,1,2,1.5,0.5,0.5,0.5
AO1 Lithium 5-1 7,AO1 Lithium 5-1 7 pt44.jpg,eggs1countAO1 Lithium 5-1 7 pt44.jpg,eggs1countAO1 Lithium 5-1 7 pt44.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 7,NCO1 Lithium 5-1 7 pt29.jpg,eggs3countNCO1 Lithium 5-1 7 pt29.jpg,eggs2countNCO1 Lithium 5-1 7 pt29.jpg,3,2,4,2.5,0.5,0.5,1.5
NCO1 Lithium 5-1 30,NCO1 Lithium 5-1 30 pt28.jpg,eggs2countNCO1 Lithium 5-1 30 pt28.jpg,eggs2countNCO1 Lithium 5-1 30 pt28.jpg,2,2,2,2.0,0.0,0.0,0.0
ACO1 Lithium 5-1 17,ACO1 Lithium 5-1 17 pt23.jpg,eggs2countACO1 Lithium 5-1 17 pt23.jpg,eggs2countACO1 Lithium 5-1 17 pt23.jpg,2,2,3,2.0,0.0,0.0,1.0
CO1 Lithium 5-1 24,CO1 Lithium 5-1 24 pt28.jpg,eggs5countCO1 Lithium 5-1 24 pt28.jpg,eggs4countCO1 Lithium 5-1 24 pt28.jpg,5,4,4,4.5,0.5,0.5,0.5
ACO1 Lithium 5-1 7,ACO1 Lithium 5-1 7 pt52.jpg,eggs1countACO1 Lithium 5-1 7 pt52.jpg,eggs1countACO1 Lithium 5-1 7 pt52.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 32,NCO1 Lithium 5-1 32 pt47.jpg,eggs4countNCO1 Lithium 5-1 32 pt47.jpg,eggs4countNCO1 Lithium 5-1 32 pt47.jpg,4,4,6,4.0,0.0,0.0,2.0
NCO1 Lithium 5-1 33,NCO1 Lithium 5-1 33 pt45.jpg,eggs3countNCO1 Lithium 5-1 33 pt45.jpg,eggs3countNCO1 Lithium 5-1 33 pt45.jpg,3,3,4,3.0,0.0,0.0,1.0
AO1 Lithium 5-1 16,AO1 Lithium 5-1 16 pt24.jpg,eggs1countAO1 Lithium 5-1 16 pt24.jpg,eggs1countAO1 Lithium 5-1 16 pt24.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 46,NCO1 Lithium 5-1 46 pt65.jpg,eggs6countNCO1 Lithium 5-1 46 pt65.jpg,eggs5countNCO1 Lithium 5-1 46 pt65.jpg,6,5,6,5.5,0.5,0.5,0.5
AO1 Control 5-1 12,AO1 Control 5-1 12 pt78.jpg,eggs2countAO1 Control 5-1 12 pt78.jpg,eggs2countAO1 Control 5-1 12 pt78.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Lithium 5-1 21,CO1 Lithium 5-1 21 pt38.jpg,eggs4countCO1 Lithium 5-1 21 pt38.jpg,eggs4countCO1 Lithium 5-1 21 pt38.jpg,4,4,4,4.0,0.0,0.0,0.0
CO1 Lithium 5-1 4,CO1 Lithium 5-1 4 pt67.jpg,eggs4countCO1 Lithium 5-1 4 pt67.jpg,eggs4countCO1 Lithium 5-1 4 pt67.jpg,4,4,4,4.0,0.0,0.0,0.0
NCO1 Control 5-1 50,NCO1 Control 5-1 50 pt82.jpg,eggs2countNCO1 Control 5-1 50 pt82.jpg,eggs1countNCO1 Control 5-1 50 pt82.jpg,2,1,3,1.5,0.5,0.5,1.5
CO1 Lithium 5-1 23,CO1 Lithium 5-1 23 pt58.jpg,eggs7countCO1 Lithium 5-1 23 pt58.jpg,eggs7countCO1 Lithium 5-1 23 pt58.jpg,7,7,7,7.0,0.0,0.0,0.0
ACO1 Lithium 5-1 50,ACO1 Lithium 5-1 50 pt54.jpg,eggs1countACO1 Lithium 5-1 50 pt54.jpg,eggs1countACO1 Lithium 5-1 50 pt54.jpg,1,1,2,1.0,0.0,0.0,1.0
AO1 Control 5-1 29,AO1 Control 5-1 29 pt78.jpg,eggs5countAO1 Control 5-1 29 pt78.jpg,eggs5countAO1 Control 5-1 29 pt78.jpg,5,5,4,5.0,0.0,0.0,1.0
NCO1 Lithium 5-1 42,NCO1 Lithium 5-1 42 pt57.jpg,eggs3countNCO1 Lithium 5-1 42 pt57.jpg,eggs3countNCO1 Lithium 5-1 42 pt57.jpg,3,3,4,3.0,0.0,0.0,1.0
AO1 Lithium 5-1 5,AO1 Lithium 5-1 5 pt49.jpg,eggs1countAO1 Lithium 5-1 5 pt49.jpg,eggs1countAO1 Lithium 5-1 5 pt49.jpg,1,1,1,1.0,0.0,0.0,0.0
CO1 Lithium 5-1 35,CO1 Lithium 5-1 35 pt44.jpg,eggs4countCO1 Lithium 5-1 35 pt44.jpg,eggs4countCO1 Lithium 5-1 35 pt44.jpg,4,4,4,4.0,0.0,0.0,0.0
ACO1 Control 5-1 36,ACO1 Control 5-1 36 pt26.jpg,eggs2countACO1 Control 5-1 36 pt26.jpg,eggs1countACO1 Control 5-1 36 pt26.jpg,2,1,2,1.5,0.5,0.5,0.5
NCO1 Lithium 5-1 13,NCO1 Lithium 5-1 13 pt39.jpg,eggs5countNCO1 Lithium 5-1 13 pt39.jpg,eggs4countNCO1 Lithium 5-1 13 pt39.jpg,5,4,5,4.5,0.5,0.5,0.5
CO1 Control 5-1 47,CO1 Control 5-1 47 pt58.jpg,eggs1countCO1 Control 5-1 47 pt58.jpg,eggs1countCO1 Control 5-1 47 pt58.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 39,NCO1 Lithium 5-1 39 pt63.jpg,eggs2countNCO1 Lithium 5-1 39 pt63.jpg,eggs1countNCO1 Lithium 5-1 39 pt63.jpg,2,1,2,1.5,0.5,0.5,0.5
CO1 Lithium 5-1 12,CO1 Lithium 5-1 12 pt38.jpg,eggs1countCO1 Lithium 5-1 12 pt38.jpg,eggs1countCO1 Lithium 5-1 12 pt38.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 44,AO1 Control 5-1 44 pt14.jpg,eggs4countAO1 Control 5-1 44 pt14.jpg,eggs4countAO1 Control 5-1 44 pt14.jpg,4,4,3,4.0,0.0,0.0,1.0
CO1 Control 5-1 10,CO1 Control 5-1 10 pt79.jpg,eggs1countCO1 Control 5-1 10 pt79.jpg,eggs1countCO1 Control 5-1 10 pt79.jpg,1,1,2,1.0,0.0,0.0,1.0
ACO1 Control 5-1 50,ACO1 Control 5-1 50 pt77.jpg,eggs1countACO1 Control 5-1 50 pt77.jpg,eggs1countACO1 Control 5-1 50 pt77.jpg,1,1,1,1.0,0.0,0.0,0.0
ACO1 Lithium 5-1 6,ACO1 Lithium 5-1 6 pt13.jpg,eggs9countACO1 Lithium 5-1 6 pt13.jpg,eggs7countACO1 Lithium 5-1 6 pt13.jpg,9,7,7,8.0,1.0,1.0,1.0
CO1 Lithium 5-1 36,CO1 Lithium 5-1 36 pt79.jpg,eggs3countCO1 Lithium 5-1 36 pt79.jpg,eggs2countCO1 Lithium 5-1 36 pt79.jpg,3,2,3,2.5,0.5,0.5,0.5
NCO1 Lithium 5-1 7,NCO1 Lithium 5-1 7 pt44.jpg,eggs1countNCO1 Lithium 5-1 7 pt44.jpg,eggs1countNCO1 Lithium 5-1 7 pt44.jpg,1,1,2,1.0,0.0,0.0,1.0
NCO1 Lithium 5-1 21,NCO1 Lithium 5-1 21 pt67.jpg,eggs1countNCO1 Lithium 5-1 21 pt67.jpg,eggs1countNCO1 Lithium 5-1 21 pt67.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 47,NCO1 Lithium 5-1 47 pt32.jpg,eggs3countNCO1 Lithium 5-1 47 pt32.jpg,eggs3countNCO1 Lithium 5-1 47 pt32.jpg,3,3,3,3.0,0.0,0.0,0.0
NCO1 Lithium 5-1 13,NCO1 Lithium 5-1 13 pt36.jpg,eggs2countNCO1 Lithium 5-1 13 pt36.jpg,eggs2countNCO1 Lithium 5-1 13 pt36.jpg,2,2,3,2.0,0.0,0.0,1.0
ACO1 Lithium 5-1 33,ACO1 Lithium 5-1 33 pt85.jpg,eggs3countACO1 Lithium 5-1 33 pt85.jpg,eggs2countACO1 Lithium 5-1 33 pt85.jpg,3,2,2,2.5,0.5,0.5,0.5
AO1 Lithium 5-1 39,AO1 Lithium 5-1 39 pt53.jpg,eggs1countAO1 Lithium 5-1 39 pt53.jpg,eggs1countAO1 Lithium 5-1 39 pt53.jpg,1,1,1,1.0,0.0,0.0,0.0
AO1 Control 5-1 33,AO1 Control 5-1 33 pt7.jpg,eggs2countAO1 Control 5-1 33 pt7.jpg,eggs2countAO1 Control 5-1 33 pt7.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Lithium 5-1 41,CO1 Lithium 5-1 41 pt47.jpg,eggs2countCO1 Lithium 5-1 41 pt47.jpg,eggs2countCO1 Lithium 5-1 41 pt47.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 20,NCO1 Lithium 5-1 20 pt46.jpg,eggs1countNCO1 Lithium 5-1 20 pt46.jpg,eggs1countNCO1 Lithium 5-1 20 pt46.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Lithium 5-1 31,NCO1 Lithium 5-1 31 pt13.jpg,eggs2countNCO1 Lithium 5-1 31 pt13.jpg,eggs2countNCO1 Lithium 5-1 31 pt13.jpg,2,2,2,2.0,0.0,0.0,0.0
CO1 Lithium 5-1 5,CO1 Lithium 5-1 5 pt55.jpg,eggs2countCO1 Lithium 5-1 5 pt55.jpg,eggs2countCO1 Lithium 5-1 5 pt55.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Control 5-1 8,NCO1 Control 5-1 8 pt36.jpg,eggs2countNCO1 Control 5-1 8 pt36.jpg,eggs2countNCO1 Control 5-1 8 pt36.jpg,2,2,2,2.0,0.0,0.0,0.0
NCO1 Lithium 5-1 49,NCO1 Lithium 5-1 49 pt41.jpg,eggs4countNCO1 Lithium 5-1 49 pt41.jpg,eggs2countNCO1 Lithium 5-1 49 pt41.jpg,4,2,2,3.0,1.0,1.0,1.0
AO1 Control 5-1 14,AO1 Control 5-1 14 pt17.jpg,eggs2countAO1 Control 5-1 14 pt17.jpg,eggs2countAO1 Control 5-1 14 pt17.jpg,2,2,2,2.0,0.0,0.0,0.0
AO1 Control 5-1 38,AO1 Control 5-1 38 pt86.jpg,eggs1countAO1 Control 5-1 38 pt86.jpg,eggs1countAO1 Control 5-1 38 pt86.jpg,1,1,1,1.0,0.0,0.0,0.0
NCO1 Control 5-1 17,NCO1 Control 5-1 17 pt66.jpg,eggs2countNCO1 Control 5-1 17 pt66.jpg,eggs2countNCO1 Control 5-1 17 pt66.jpg,2,2,2,2.0,0.0,0.0,0.0
